model,n_folds,mean_cd,std_cd,mean_coverage_cd,mean_mmd_cd
ardc_unfreeze_descriptor,3,0.030599548552212124,0.0047993327318016045,0.07489711934156379,0.02951502799987793
fair_zero_base,3,0.02959860327209005,0.005264703511512217,0.10401234567901235,0.0287018995732069
retrieval_descriptor,3,0.030517384784828887,0.006638963278957647,0.04979423868312757,0.027624559899171192
retrieval_flat_l2,3,0.028427460268829707,0.00831063043997388,0.23719135802469135,0.02720593847334385
zero_finetune,3,0.030583303508065148,0.00473293544702637,0.0956275720164609,0.029512859260042507
