seed,model,mean_cd,coverage_cd,mmd_cd,one_nn_acc_cd,diversity_cd,mean_mse,mean_cond_cd
7,fair_cgan_zero_finetune_saved,0.015912621282041073,0.8395061728395061,0.01588066667318344,0.5,0.028846967965364456,0.10336854419222584,0.30566633998611825
13,fair_cgan_zero_finetune_saved,0.01581306517538097,0.8518518518518519,0.015785537660121918,0.5,0.028887033462524414,0.10263393506591703,0.29881542884273293
21,fair_cgan_zero_finetune_saved,0.016050065890598444,0.7777777777777778,0.01598837412893772,0.5,0.029882248491048813,0.1036798291736179,0.3059676635412522
42,fair_cgan_zero_finetune_saved,0.015798129267806625,0.8148148148148148,0.015763653442263603,0.5,0.02883915975689888,0.10136991472523889,0.3039542105462816
