regime,model,n_seeds,mean_cd,std_cd,mean_improvement_vs_reference_pct,std_improvement_vs_reference_pct,mean_coverage_cd,mean_mmd_cd
frac25,ardc_adaptive_policy,3,0.017575696712444102,0.0001802623690216343,1.265006449738434,1.9830549758642193,0.5637860082304527,0.016991437723239262
frac25,ardc_frac25_frozen_descriptor,3,0.017716145817451026,0.00010673279532268604,0.48659984872856826,0.4011450623994257,0.522633744855967,0.01746923290193081
frac25,ardc_frac25_frozen_flat_l2,3,0.017705932650485156,0.00011962082093018613,0.5441678892809063,0.43942689907828764,0.5020576131687242,0.01748211185137431
frac25,fair_cgan_frac25_random_test,3,0.019086006722209874,0.0002324586768279703,,,,
frac25,fair_cgan_frac25_zero_base,3,0.017803248362960638,0.00017802021616971942,6.7173673573078325,0.7639774021091664,,
frac25,retrieval_descriptor_top1,3,0.01838728011712248,0.0001940107931540707,,,0.45267489711934156,0.017167352760831516
frac25,retrieval_flat_l2_top1,3,0.017575696712444102,0.0001802623690216343,,,0.5637860082304527,0.016991437723239262
full,ardc_adaptive_policy,4,0.015863001381081564,0.00011066419565050889,2.5516094801424325,0.7850515632476086,0.8271604938271605,0.015820817090570927
full,ardc_frozen_descriptor,4,0.016081956801591094,0.00015438915745363057,1.2100821351903233,0.34767700530112217,0.8271604938271604,0.016032037790864706
full,ardc_frozen_dual_descriptor_flat_l2,4,0.01613086344168326,0.00012425647984527473,0.9080247473718424,0.48079023060474446,0.808641975308642,0.01604588981717825
full,ardc_frozen_flat_l2,4,0.016109230939620807,0.00015952130872807534,1.0424516225533667,0.4501526950196711,0.8148148148148148,0.016056446824222803
full,ardc_unfreeze_descriptor,4,0.015863001381081564,0.00011066419565050889,0.19140139618754548,0.19029279629494644,0.8271604938271605,0.015820817090570927
full,ardc_unfreeze_flat_l2,4,0.015865845456259485,0.00011532263595343301,0.17367958857172827,0.1778148766423288,0.8148148148148148,0.01582415634766221
full,fair_cgan_split_best,4,0.01627939362308861,0.0002019273537362608,,,0.75,0.01622150419279933
full,fair_cgan_zero_finetune_best,4,0.015893470605168446,0.00011610788424570403,2.365496777809838,0.6210505789276389,,
full,retrieval_descriptor_top1,4,0.01806134080376338,0.00013441489114146465,,,0.5154320987654321,0.01715870201587677
