seed,retrieval_cd,fair_cgan_cd,hybrid_cd,hybrid_base_cd,hybrid_vs_fair_pct,hybrid_vs_retrieval_pct,fair_cgan_coverage,hybrid_coverage,retrieval_coverage,fair_cgan_mmd,hybrid_mmd,retrieval_mmd,fair_cgan_1nn,hybrid_1nn
7,0.017971465663041596,0.01620362070101647,0.01606053852096752,0.016163047644551152,0.8830259772741718,10.633117954335292,0.7901234567901234,0.8395061728395061,0.5555555555555556,0.016170380637049675,0.016032816842198372,0.017198938876390457,0.5,0.5
13,0.018028007015401935,0.01613376673632934,0.015976037347206363,0.016107527838077073,0.9776352398092337,11.382121531473254,0.7530864197530864,0.8641975308641975,0.5432098765432098,0.01608140394091606,0.01591760665178299,0.017104875296354294,0.5123456790123457,0.5
21,0.018259735594009174,0.016578330485909072,0.01630644064488602,0.01654701999584098,1.6400314932444273,10.697279481768664,0.7654320987654321,0.7654320987654321,0.5185185185185185,0.016479678452014923,0.016225052997469902,0.017208436504006386,0.5308641975308642,0.5
42,0.017986154942600814,0.016201856569099574,0.01598481069330448,0.016179919978718697,1.3396358304334604,11.127137821748018,0.691358024691358,0.8395061728395061,0.4444444444444444,0.01615455374121666,0.01595267467200756,0.017122557386755943,0.5185185185185185,0.5061728395061729
