comparison,regime,method,reference,n_seeds,wins,losses,mean_delta_cd,std_delta_cd,mean_relative_improvement_pct,std_relative_improvement_pct,bootstrap95_delta_low,bootstrap95_delta_high,bootstrap95_rel_low,bootstrap95_rel_high,note
Full ARDC adaptive vs fair split CGAN,full,ardc_adaptive_policy,fair_cgan_split_best,4,4,0,0.0004163922420070505,0.00013303226614207447,2.5516094801424325,0.7850515632476086,0.00031012364513712323,0.0005226608388769777,1.9182318359151123,3.1849871243697527,Primary full-data comparison; reference is fair split CGAN.
Full ARDC unfreeze descriptor vs zero-latent fine-tune,full,ardc_unfreeze_descriptor,fair_cgan_zero_finetune_best,4,4,0,3.0469224086882712e-05,3.0294616424068373e-05,0.19140139618754548,0.19029279629494644,4.272856232192396e-06,5.666559194157303e-05,0.02689857117460149,0.3559042212004895,Strict attribution comparison against deterministic adaptation baseline.
Full ARDC frozen descriptor vs fair split CGAN,full,ardc_frozen_descriptor,fair_cgan_split_best,4,4,0,0.00019743682149751807,5.904482579559319e-05,1.2100821351903233,0.34767700530112217,0.0001504057845859632,0.00024446785840907294,0.9303306085417027,1.4898336618389438,Isolates case-memory residual with frozen base.
25% ARDC memory branch vs zero-latent base,frac25,ardc_adaptive_policy,fair_cgan_frac25_zero_base,3,2,1,0.00022755165051653475,0.00035598016244053335,1.265006449738434,1.9830549758642193,-9.211677092093098e-05,0.0006111735983947188,-0.5225087458166214,3.3981587007820906,Adaptive policy resolves to flat-L2 retrieval; mean gain is not uniform across seeds.
